feature,score
browse_countAvgMon,3116
bill_limit-account_mean,2972
browse_meanAvgMon,2862
bill_prior_repayCaccount_topMean,2649
bill_minimunRepay_mean,2438
bill_accountBalance_mean,2345
browse_count,2240
bill_limit-account_topMean,2073
bill_minimunRepay_pctSum,2067
bill_priorRepay_mean,2031
bill_priorAccount_mean,2005
bill_account_monthAvg,1954
bill_limitSum,1879
browse_tag_5,1805
bill_prior_repayCaccount_mean,1767
bill_priorRepay_max,1762
browse_tag_10,1643
browse_tag_1,1608
bill_countbank_id,1584
browse_tag_6,1563
bill_priorRepay_pctSum,1526
bill_priorAccount_max,1514
browse_tag_7,1508
bill_account_pctSum,1462
bill_minimunRepay_std,1452
browse_tag_4,1428
browse_tag_8,1362
bill_priorAccount_std,1308
bill_accountBalance_std,1283
bill_accountBalance_pctSum,1276
bill_account_std,1223
bill_priorRepay_std,1194
bill_limitMean,1182
bill_priorAccount_pctSum,1161
bill_count_monthAvg,1124
bill_limitStd,1049
bill_account_pctSumAbs,921
browse_tag_3,849
bill_priorRepayCAccount_std,781
sex,716
household,660
occupation,615
education,593
marriage,589
browse_tag_9,156
bill_bankid_count,107
browse_tag_11,9
browse_tag_2,5
