feature,score
r_browse_countAvgMon,2560
r_bill_prior_repayCaccount_topMean,2162
r_bill_limit-account_mean,2056
r_browse_meanAvgMon,1911
r_bill_minimunRepay_mean,1833
r_bill_accountBalance_mean,1698
r_bill_limit-account_topMean,1545
r_browse_count,1521
r_bill_priorRepay_mean,1489
r_bill_account_monthAvg,1442
r_bill_minimunRepay_pctSum,1380
r_bill_priorAccount_mean,1329
r_bill_prior_repayCaccount_mean,1292
r_bill_priorRepay_max,1274
r_bill_countbank_id,1249
r_browse_tag_10,1231
r_bill_limitSum,1217
r_browse_tag_5,1195
r_browse_tag_1,1191
r_browse_tag_7,1119
r_bill_priorAccount_max,1103
r_browse_tag_6,1076
r_bill_priorRepay_pctSum,1049
r_bill_accountBalance_pctSum,1034
r_browse_tag_8,1000
r_bill_account_pctSum,990
r_browse_tag_4,975
r_bill_priorAccount_std,943
r_bill_minimunRepay_std,934
r_bill_limitStd,895
r_bill_priorAccount_pctSum,890
r_bill_priorRepay_std,888
r_bill_account_std,879
r_bill_accountBalance_std,879
r_bill_limitMean,852
r_bill_count_monthAvg,742
r_bill_priorRepayCAccount_std,714
r_bill_account_pctSumAbs,630
r_browse_tag_3,600
r_sex,474
r_education,471
r_household,461
r_occupation,438
r_marriage,390
r_browse_tag_9,118
r_bill_bankid_count,52
r_browse_tag_11,9
r_browse_tag_2,6
