feature,score
browse_countAvgMon,65644
bill_prior_repayCaccount_topMean,59912
bill_limit-account_mean,59668
browse_meanAvgMon,54388
bill_minimunRepay_mean,47512
bill_accountBalance_mean,46669
bill_limit-account_topMean,43917
browse_count,41645
bill_priorRepay_mean,38424
bill_account_monthAvg,37701
bill_minimunRepay_pctSum,37593
bill_priorAccount_mean,37315
bill_countbank_id,34751
bill_priorRepay_max,34594
bill_prior_repayCaccount_mean,34468
browse_tag_5,33409
bill_limitSum,33151
browse_tag_10,32064
browse_tag_7,31615
browse_tag_1,31442
bill_priorAccount_max,30195
browse_tag_6,29768
bill_priorRepay_pctSum,29765
browse_tag_4,28236
bill_account_pctSum,27926
bill_minimunRepay_std,27056
bill_accountBalance_std,26937
browse_tag_8,26840
bill_accountBalance_pctSum,26189
bill_account_std,25100
bill_priorAccount_pctSum,25099
bill_priorRepay_std,24637
bill_priorAccount_std,24303
bill_limitMean,22596
bill_count_monthAvg,21853
bill_limitStd,21835
bill_account_pctSumAbs,19678
bill_priorRepayCAccount_std,18745
browse_tag_3,17282
household,13943
sex,13751
education,11921
occupation,11724
marriage,11399
browse_tag_9,2570
bill_bankid_count,1463
browse_tag_11,185
browse_tag_2,86
