userid,bank_income_sum,bank_outcome_sum,bank_amountCha,bank_income_amta,bank_outcome_amta,bank_amtaCha,bank_type_count,bank_type_outcomeCount,bank_type_incomeCount
1,481.0,676.0,195.0,46.0,56.0,10.0,86,51,35
3,2279.0,4986.0,2707.0,175.0,384.0,208.0,679,507,172
4,1164.0,2129.0,965.0,90.0,164.0,74.0,291,195,96
9,187.0,142.0,-45.0,63.0,35.0,-28.0,24,11,13
10,1794.0,2250.0,457.0,138.0,173.0,35.0,324,183,141
14,6857.0,7961.0,1104.0,527.0,612.0,85.0,1250,729,521
16,478.0,935.0,457.0,42.0,78.0,36.0,110,75,35
21,3207.0,6320.0,3113.0,267.0,527.0,259.0,827,584,243
22,125.0,221.0,96.0,42.0,55.0,13.0,28,19,9
23,1806.0,3828.0,2022.0,139.0,294.0,156.0,549,388,161
25,2448.0,4009.0,1560.0,189.0,308.0,119.0,620,413,207
26,59.0,486.0,426.0,20.0,162.0,142.0,47,42,5
29,2473.0,7376.0,4903.0,177.0,527.0,350.0,926,723,203
31,4721.0,15802.0,11081.0,393.0,1317.0,923.0,1865,1465,400
32,1225.0,2848.0,1623.0,94.0,219.0,125.0,346,251,95
33,2387.0,5786.0,3399.0,298.0,723.0,425.0,735,535,200
35,372.0,645.0,272.0,31.0,54.0,23.0,78,51,27
36,6461.0,12754.0,6293.0,497.0,981.0,484.0,1487,998,489
37,1710.0,4998.0,3288.0,188.0,384.0,196.0,627,472,155
38,1368.0,2891.0,1523.0,106.0,277.0,171.0,394,270,124
41,1516.0,2383.0,867.0,189.0,298.0,108.0,330,204,126
44,454.0,658.0,204.0,38.0,55.0,17.0,85,50,35
46,1148.0,3425.0,2277.0,88.0,263.0,175.0,392,300,92
47,3988.0,11076.0,7088.0,336.0,852.0,516.0,1223,930,293
48,10187.0,16478.0,6291.0,784.0,1268.0,484.0,2100,1390,710
49,2420.0,5323.0,2903.0,186.0,409.0,223.0,651,463,188
50,4410.0,6599.0,2189.0,339.0,508.0,168.0,860,527,333
52,419.0,716.0,297.0,47.0,80.0,33.0,98,64,34
53,6998.0,8828.0,1829.0,538.0,679.0,141.0,1246,703,543
55,767.0,2673.0,1906.0,128.0,446.0,318.0,343,272,71
56,3310.0,5047.0,1737.0,276.0,421.0,145.0,699,426,273
58,1376.0,1749.0,373.0,106.0,135.0,29.0,277,159,118
60,1259.0,1865.0,606.0,105.0,155.0,51.0,270,168,102
62,2333.0,4090.0,1757.0,233.0,409.0,176.0,549,363,186
66,532.0,1095.0,562.0,41.0,84.0,43.0,166,115,51
67,3389.0,7054.0,3665.0,261.0,543.0,282.0,920,637,283
69,2361.0,3615.0,1254.0,215.0,329.0,114.0,481,309,172
70,1038.0,3645.0,2607.0,82.0,280.0,198.0,457,367,90
71,709.0,2504.0,1795.0,60.0,193.0,133.0,318,254,64
73,2239.0,2617.0,378.0,280.0,327.0,47.0,386,216,170
75,546.0,1062.0,517.0,52.0,97.0,44.0,168,110,58
76,2178.0,5916.0,3739.0,168.0,455.0,288.0,825,623,202
78,8137.0,13321.0,5183.0,626.0,1025.0,399.0,1795,1171,624
79,3993.0,6428.0,2435.0,307.0,494.0,187.0,916,574,342
81,402.0,680.0,278.0,45.0,76.0,31.0,98,65,33
82,199.0,631.0,432.0,66.0,210.0,144.0,60,46,14
85,668.0,1020.0,352.0,56.0,85.0,29.0,155,97,58
87,2539.0,7846.0,5307.0,254.0,785.0,531.0,915,720,195
91,1231.0,6090.0,4859.0,205.0,1015.0,810.0,630,534,96
