userid,2157-03,2157-04,2157-05,2157-06,2157-07,2157-08,2157-09,2157-10,2157-11,2157-12,2158-01,2158-02,2158-03,2158-06,2158-08
2,41.062116,59.765591,18.588171,14.632132,40.671105,21.659073,21.658153,41.022252,38.415441,,,,,,
4,18.329382,15.828828,19.553419,17.130215,15.471721,17.118876,17.508188,18.876152,18.418232,,,,,,
7,41.024124,20.786481,,20.319707,20.196677,41.32,40.534038,19.856905,40.180716,41.935668,,,,,
8,,,,,,,,,,,,0.0,,,
10,19.897779,37.792836,40.305839,37.574246,35.68557,39.241945,35.00706,41.208817,39.677766,60.782797,39.02394,59.725161,19.081894,,
14,,,19.213273,,,17.462399,19.436617,39.126696,36.354913,19.506453,,,,,
15,,,20.049287,19.557572,19.016639,,,,,,,,,,
16,21.337362,20.212637,20.212637,20.212636,0.0,,,,,0.0,,,,,
17,20.440899,102.98171,41.039032,102.202839,100.388041,101.914997,81.41763,64.184452,43.705603,1.631012,21.617911,,,,
18,,20.822903,,,,21.49866,21.617327,21.608985,21.587426,21.603116,20.185992,21.665564,,,
19,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,
20,,,20.429098,,,21.811394,,21.318671,,,,,,,
21,0.0,,19.458172,19.626524,0.0,,,,,,,,,,
22,,18.168248,18.618442,18.921746,,,,,,,,,,,
24,20.964809,19.684311,20.170908,39.533554,21.474839,63.46891,63.147275,80.167566,80.968067,81.011808,79.013943,,,,
27,20.667176,21.146991,21.435572,,,,,,,,,,,,
34,0.0,,,,,,,,17.317709,,,,,,
35,41.227197,37.566638,61.426306,39.845011,79.426382,81.800458,102.419672,121.121953,103.107402,20.664418,,,,,
36,,,,19.745178,19.467421,17.824218,,,,,,,,,
37,18.24093,18.55818,18.947896,,,,,,,,,,,,
39,,,,18.828017,,,,18.370019,,,,,,,
42,50.599911,53.400645,,,,,,,,,,,,,
43,,20.007165,19.550045,19.15806,19.674112,17.132747,19.89429,19.581166,20.378464,19.330632,,,,,
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
45,37.017408,,,,,,,,,,,,,,
46,19.042897,19.135997,19.059007,19.113555,19.183087,19.086086,19.00416,18.911202,,,,,,,
47,57.296578,77.950525,37.951056,36.03737,20.308253,79.773046,57.417823,74.50372,,,,,,,
48,0.0,0.0,0.0,17.676654,17.668686,,,,,,,,,,
49,38.809502,,,,,,,57.234694,37.049557,80.761916,,,,,
50,,,,,,21.349967,,,,,,,,,
51,37.317897,,,,,,,,,42.786142,99.453057,97.17994,18.42598,,
53,18.75125,40.296759,20.784111,,,,,,,,,,,,
54,38.086458,,35.585152,19.659651,59.704081,,,,,,,,,,
59,,,,,,,0.0,0.0,0.0,0.0,20.142187,20.150178,0.0,,
61,0.0,,,,,,,,,,,,,,
62,,18.864582,0.0,19.680201,19.808133,,,,,,,,,,
63,18.666033,20.759562,,,,,,,,,,,,,
64,,,0.0,22.052985,,,,,,,,,,,
67,,,,,20.54147,19.321627,40.469425,40.103065,38.137041,,,,,,
68,87.203295,91.317523,93.390023,129.706461,130.684612,128.179461,108.842231,105.510909,128.180874,129.352204,124.636834,51.92751,,,
71,,,,,,,,,,84.483763,,,,,
74,,,20.442424,20.044668,,,,,,,,,,,
77,41.79544,39.892969,37.29219,39.97347,39.96333,37.140306,37.06072,37.127152,37.124941,37.118297,36.854397,37.058467,,,
78,,19.956171,19.823362,18.805787,18.717911,37.346973,38.360333,0.0,,,,,,,
79,16.01425,18.50096,18.482394,,,,,,20.147423,,,,0.0,,
80,,,,,,,,,22.30626,21.873688,107.751726,0.0,,,
82,,,,61.697609,38.106655,39.307104,38.75933,43.743326,33.919824,34.093747,37.959182,37.870455,,,
83,16.338847,0.0,16.164958,19.304594,17.672877,17.568202,19.786518,20.003046,18.325387,0.0,19.428992,0.0,0.0,,
84,,,,,,15.919871,,,,,,,,,
85,,,,,19.740095,16.076203,18.203259,15.526858,,,,,,,
87,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,
89,33.700941,34.43285,34.848709,33.302233,32.185986,,,,,,,,,,
90,,,,,,,0.0,0.0,0.0,,,,0.0,,
94,,,,,,,,,60.666609,19.765188,,,,,
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
98,,,,,,,,19.507806,17.19065,16.282391,,,,,
99,,,,,,0.0,,20.878819,21.526001,19.988244,19.81801,,,,
100,0.0,19.178303,19.057581,18.552577,,,,,,,,,,,
101,,,,,19.014158,14.611078,19.346664,15.540558,19.035002,19.074782,,,,,
105,72.555339,75.324873,77.346237,80.161729,103.031088,42.527553,80.544953,80.15202,41.386067,39.596004,79.34048,81.308263,,,
107,,,35.098505,0.0,50.448231,52.346341,17.128843,16.637208,0.0,14.554621,0.0,0.0,,,
110,,,,,,,57.260682,76.255029,76.155188,73.525996,,,,,
111,,,,,,,21.705053,,20.076844,18.441789,0.0,19.056054,,,
114,21.221872,0.0,22.412013,22.066859,,,,,,,,,,,
116,,,,40.564135,40.159323,39.926647,20.327816,40.72716,37.862878,38.754882,40.468641,,,,
117,,36.363131,19.531888,54.775774,57.768647,54.978019,36.501199,,,,,,,,
119,42.067035,,62.588427,61.792844,59.35248,60.51678,83.187463,83.143649,80.966478,62.473978,61.716388,43.056792,19.622133,,
120,60.733187,38.011823,58.671622,61.014624,41.505213,40.927679,19.740921,40.07514,80.407014,121.137833,117.759405,,,,
122,54.084861,59.51961,35.403613,,,,,,,,,,,,
123,37.470381,57.168855,38.444807,,,,,,,,,,,,
124,,,,,,,,21.375982,21.387953,,,,,,
125,,18.46061,,,21.152576,,,,21.317797,,,,,,
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
127,,20.75254,20.279687,20.898905,60.585077,39.879528,56.81712,41.296303,18.751419,61.371081,59.486443,61.48361,40.398597,,
128,39.479307,,18.751521,,19.260985,59.162718,40.993773,40.346589,,,,,,,
129,,,0.0,,,,,,,,,,,,
130,,,,,,,0.0,0.0,,,,,,,
131,,,,0.0,19.939926,19.602491,96.098595,77.654873,92.189754,93.629157,,,,,
132,,0.0,19.748727,19.064385,0.0,0.0,,,,,,,,,
133,20.154833,,,,16.154376,,,16.35393,,,,,,,
136,,18.91156,19.069489,36.790922,37.743593,52.482693,35.507948,50.023709,35.926107,48.938283,18.060728,,,,
138,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
139,16.889283,,,18.444582,,,,,,,,,,,
140,,,,,,,,19.991191,,,,,,,
143,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
145,39.2838,,,,,,,,,,,,,,
147,,18.362832,18.488791,18.361833,19.379553,18.579006,,,18.680432,18.086869,,,,,
149,21.590412,21.782541,21.316299,,21.473923,20.583831,21.039573,,,20.637387,22.23269,20.263064,,,
150,16.883993,35.328387,17.265129,15.883465,,,,,,,,,,,
151,,,,16.392859,,,,,,,,,,,
153,15.806289,36.791762,19.728717,20.611421,20.620697,40.865653,41.309703,40.677004,41.663486,62.728656,62.060091,20.392478,,,
154,19.485037,19.930015,19.640046,19.0412,19.455285,19.251274,19.29795,19.579726,20.81349,21.985449,19.295704,,20.188375,,
157,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
158,0.0,,,,,,,19.87819,0.0,,,,,,
159,62.195851,42.127332,62.603645,21.348054,42.629997,42.38425,41.779671,42.429409,62.546484,41.303676,62.923222,,,,
160,,,18.494088,17.080547,40.31654,,,,,,,,,,
161,,,,,,,0.0,0.0,0.0,17.134932,,,,,
162,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.637894,0.0,,
163,,19.68382,20.035874,19.060674,19.72065,20.2071,20.884115,20.735056,19.898371,20.504988,18.991284,21.382593,,,
164,,,20.664418,20.664418,,,,,,,,,,,
165,,,,16.153921,18.003013,16.2478,,,,,,,,,
166,18.151173,18.438238,19.873748,17.983876,19.568106,17.995382,,,,,,,,,
167,,,,17.909936,17.410148,,,,,,,,,,
170,37.911445,36.625512,17.701811,39.805981,39.746012,19.730228,19.244265,39.037787,39.65321,36.791271,,,,,
171,,,,,,22.42918,22.042516,,,,,,,,
172,,19.796917,19.931398,0.0,0.0,20.072744,0.0,19.971271,0.0,19.971271,,,,,
