userid,browse_data_all_count,browse_data_all_max,browse_tag_all_count,browse_tag_all_max
2,1305,213,1305,10
3,342,190,342,10
4,364,213,364,10
6,15,110,15,7
7,1008,213,1008,10
8,1111,213,1111,10
10,320,213,320,10
12,516,190,516,10
14,208,188,208,10
15,154,190,154,10
16,153,201,153,10
17,2478,213,2478,10
18,100,190,100,10
19,2025,190,2025,10
20,594,201,594,10
21,348,213,348,10
22,160,190,160,10
23,348,213,348,10
24,189,213,189,10
25,308,173,308,7
28,1440,213,1440,10
29,275,213,275,10
30,378,173,378,7
31,606,201,606,10
32,96,190,96,10
33,182,201,182,10
34,350,190,350,10
35,154,201,154,10
36,1140,213,1140,10
37,312,190,312,10
38,36,173,36,7
39,133,201,133,10
40,418,213,418,10
41,196,213,196,10
42,630,213,630,10
43,80,173,80,7
45,288,190,288,10
49,798,201,798,10
51,400,201,400,10
52,96,190,96,10
53,192,213,192,10
54,462,213,462,10
55,234,213,234,10
57,3856,213,3856,10
58,108,173,108,7
59,696,189,696,10
60,384,213,384,10
61,200,190,200,10
62,200,173,200,7
64,324,213,324,10
65,301,201,301,10
66,98,190,98,10
67,196,190,196,10
68,768,213,768,10
69,60,190,60,10
70,210,190,210,10
71,400,213,400,10
72,98,190,98,10
74,154,190,154,10
75,245,190,245,10
77,99,188,99,10
79,784,201,784,10
82,136,189,136,8
83,405,190,405,10
84,1230,213,1230,10
85,162,213,162,10
86,210,201,210,10
87,96,190,96,10
88,84,190,84,10
89,144,194,144,10
91,24,118,24,7
92,532,213,532,10
93,240,213,240,10
95,24,173,24,7
97,340,190,340,10
99,165,201,165,10
102,145,190,145,10
104,736,213,736,10
105,1881,201,1881,10
107,864,213,864,10
110,152,197,152,10
111,1160,213,1160,10
112,24,173,24,7
113,520,213,520,10
114,891,213,891,10
116,902,190,902,10
117,1270,213,1270,10
118,405,194,405,10
119,516,190,516,10
123,856,201,856,10
125,21,118,21,7
126,684,191,684,10
127,2312,190,2312,10
128,678,213,678,10
129,1638,213,1638,10
130,810,201,810,10
131,396,201,396,10
132,84,190,84,10
133,225,173,225,7
135,252,190,252,10
136,80,173,80,7
137,264,190,264,10
138,624,190,624,10
139,77,189,77,7
140,270,190,270,10
141,256,190,256,10
142,168,173,168,7
143,224,213,224,10
145,330,213,330,10
146,345,201,345,10
147,530,190,530,10
148,176,197,176,10
149,117,190,117,10
150,456,190,456,10
151,265,190,265,10
153,126,201,126,10
154,110,190,110,10
155,180,190,180,10
156,518,213,518,10
157,495,188,495,10
158,340,201,340,10
159,510,213,510,10
160,651,201,651,10
161,135,190,135,10
164,238,201,238,10
165,126,190,126,10
166,155,213,155,10
167,420,200,420,8
168,63,173,63,7
169,144,201,144,10
171,252,190,252,10
172,140,213,140,10
173,78,189,78,10
174,448,190,448,10
176,240,190,240,10
177,72,173,72,7
178,126,190,126,10
179,184,200,184,10
180,575,201,575,10
181,130,208,130,10
183,7,20,7,1
184,287,213,287,10
186,196,188,196,10
187,80,173,80,7
189,792,213,792,10
192,84,190,84,10
193,96,190,96,10
194,80,190,80,10
195,256,200,256,10
196,1220,213,1220,10
197,110,190,110,10
198,522,213,522,10
199,490,213,490,10
201,260,213,260,10
203,112,190,112,10
204,208,213,208,10
206,140,201,140,10
207,110,190,110,10
210,90,173,90,7
212,180,188,180,10
213,153,190,153,10
214,525,213,525,10
215,12,20,12,1
216,396,190,396,10
218,416,213,416,10
219,424,213,424,10
220,120,201,120,10
221,420,201,420,10
222,56,173,56,7
223,216,190,216,10
224,790,213,790,10
225,126,190,126,10
226,205,190,205,10
227,180,188,180,10
228,728,190,728,10
231,371,213,371,10
232,1040,213,1040,10
233,396,190,396,10
234,240,213,240,10
237,408,200,408,10
238,30,118,30,1
239,153,201,153,10
240,544,213,544,10
241,248,189,248,10
242,80,190,80,10
243,240,190,240,10
244,329,208,329,10
246,72,213,72,10
247,54,173,54,7
248,165,213,165,10
251,396,213,396,10
252,315,190,315,10
253,140,190,140,10
254,120,190,120,10
255,56,173,56,6
258,286,190,286,10
259,322,201,322,10
263,279,190,279,10
266,270,190,270,10
267,200,213,200,10
270,72,173,72,7
272,972,188,972,10
273,474,213,474,10
274,470,201,470,10
275,966,213,966,10
276,585,201,585,10
277,168,190,168,10
278,621,173,621,7
279,360,201,360,10
281,30,118,30,1
282,320,190,320,10
283,414,201,414,10
284,270,190,270,10
287,469,213,469,10
288,216,190,216,10
289,740,213,740,10
290,16,118,16,1
291,4459,188,4459,10
292,91,201,91,10
293,252,190,252,10
294,672,190,672,10
295,156,201,156,10
297,1008,201,1008,10
298,108,190,108,10
299,2076,213,2076,10
300,693,189,693,10
303,468,190,468,10
304,330,188,330,10
305,630,189,630,10
306,7956,213,7956,10
307,290,201,290,10
308,150,213,150,10
309,1513,213,1513,10
310,198,173,198,7
311,48,189,48,7
313,136,200,136,10
314,234,213,234,10
316,312,190,312,10
317,132,190,132,10
318,234,209,234,10
319,102,190,102,10
320,144,173,144,7
322,138,201,138,10
323,96,190,96,10
324,156,191,156,10
325,78,190,78,10
326,1017,213,1017,10
328,114,190,114,10
330,154,201,154,10
331,270,213,270,10
332,352,190,352,10
333,135,190,135,10
334,125,213,125,10
335,90,213,90,10
336,96,190,96,10
338,75,213,75,10
341,88,173,88,7
342,100,190,100,10
343,24,173,24,7
