userid,avgMon_count,avgMon_mean,avgMon_modern,avgMon_max
2,435.0,109.0,435.0,4.0
3,171.0,113.0,171.0,4.0
4,73.0,108.0,73.0,3.0
6,8.0,110.0,8.0,7.0
7,202.0,110.0,202.0,4.0
8,278.0,107.0,278.0,4.0
10,320.0,114.0,320.0,4.0
12,172.0,110.0,172.0,3.0
14,208.0,98.0,208.0,4.0
15,77.0,111.0,77.0,4.0
16,153.0,116.0,153.0,4.0
17,826.0,112.0,826.0,4.0
18,100.0,112.0,100.0,4.0
19,506.0,107.0,506.0,4.0
20,198.0,118.0,198.0,3.0
21,174.0,117.0,174.0,4.0
22,80.0,116.0,80.0,3.0
23,116.0,113.0,116.0,4.0
24,189.0,108.0,189.0,4.0
25,154.0,102.0,154.0,3.0
28,288.0,118.0,288.0,4.0
29,138.0,118.0,138.0,4.0
30,94.0,101.0,94.0,3.0
31,303.0,117.0,303.0,3.0
32,48.0,129.0,48.0,2.0
33,91.0,115.0,91.0,3.0
34,175.0,124.0,175.0,3.0
35,77.0,118.0,77.0,3.0
36,380.0,113.0,380.0,4.0
37,104.0,110.0,104.0,3.0
38,36.0,126.0,36.0,2.0
39,133.0,106.0,133.0,3.0
40,418.0,116.0,418.0,4.0
41,98.0,115.0,98.0,3.0
42,210.0,119.0,210.0,4.0
43,80.0,101.0,80.0,3.0
45,144.0,107.0,144.0,4.0
49,399.0,113.0,399.0,3.0
51,200.0,114.0,200.0,4.0
52,96.0,113.0,96.0,4.0
53,192.0,123.0,192.0,4.0
54,231.0,113.0,231.0,3.0
55,58.0,113.0,58.0,3.0
57,771.0,123.0,771.0,4.0
58,54.0,105.0,54.0,2.0
59,696.0,105.0,696.0,4.0
60,384.0,125.0,384.0,4.0
61,100.0,109.0,100.0,4.0
62,200.0,100.0,200.0,3.0
64,324.0,123.0,324.0,4.0
65,150.0,109.0,150.0,4.0
66,98.0,119.0,98.0,4.0
67,196.0,107.0,196.0,4.0
68,256.0,115.0,256.0,4.0
69,60.0,123.0,60.0,4.0
70,52.0,115.0,52.0,3.0
71,400.0,126.0,400.0,4.0
72,49.0,110.0,49.0,2.0
74,154.0,124.0,154.0,3.0
75,122.0,111.0,122.0,4.0
77,99.0,101.0,99.0,3.0
79,261.0,118.0,261.0,4.0
82,68.0,59.0,68.0,2.0
83,405.0,116.0,405.0,3.0
84,205.0,99.0,205.0,4.0
85,162.0,115.0,162.0,4.0
86,105.0,117.0,105.0,3.0
87,96.0,117.0,96.0,3.0
88,84.0,112.0,84.0,4.0
89,144.0,103.0,144.0,4.0
91,24.0,110.0,24.0,3.0
92,266.0,119.0,266.0,4.0
93,120.0,120.0,120.0,4.0
95,24.0,126.0,24.0,2.0
97,170.0,112.0,170.0,4.0
99,165.0,129.0,165.0,3.0
102,48.0,103.0,48.0,3.0
104,184.0,114.0,184.0,4.0
105,940.0,105.0,940.0,3.0
107,173.0,116.0,173.0,3.0
110,152.0,118.0,152.0,4.0
111,232.0,98.0,232.0,4.0
112,24.0,126.0,24.0,2.0
113,260.0,108.0,260.0,4.0
114,223.0,117.0,223.0,3.0
116,129.0,112.0,129.0,4.0
117,318.0,117.0,318.0,4.0
118,135.0,97.0,135.0,4.0
119,172.0,110.0,172.0,3.0
123,171.0,114.0,171.0,5.0
125,21.0,110.0,21.0,3.0
126,342.0,117.0,342.0,3.0
127,462.0,107.0,462.0,4.0
128,226.0,117.0,226.0,4.0
129,273.0,119.0,273.0,3.0
130,270.0,100.0,270.0,4.0
131,132.0,81.0,132.0,2.0
132,84.0,111.0,84.0,4.0
133,75.0,103.0,75.0,3.0
135,126.0,107.0,126.0,3.0
136,80.0,102.0,80.0,3.0
137,132.0,111.0,132.0,4.0
138,312.0,114.0,312.0,4.0
139,77.0,108.0,77.0,3.0
