userid,browse_count,browse_countAvgMon,browse_meanAvgMon
2,225,225.0,106.0
7,224,224.0,115.0
8,253,126.0,113.0
20,270,135.0,117.0
21,168,84.0,122.0
22,112,112.0,119.0
24,189,189.0,108.0
28,225,225.0,124.0
31,246,82.0,115.0
33,98,98.0,123.0
35,70,70.0,112.0
36,220,220.0,117.0
37,80,80.0,112.0
39,133,133.0,106.0
41,84,42.0,113.0
42,266,89.0,118.0
45,180,180.0,102.0
51,240,120.0,117.0
54,378,126.0,116.0
55,36,36.0,105.0
57,1696,283.0,123.0
60,384,192.0,125.0
70,119,40.0,116.0
71,150,150.0,120.0
72,28,14.0,110.0
75,180,45.0,114.0
77,99,50.0,104.0
79,672,134.0,117.0
83,405,101.0,113.0
84,174,87.0,99.0
85,162,162.0,115.0
86,30,30.0,110.0
87,96,96.0,117.0
88,84,84.0,112.0
89,144,144.0,103.0
92,448,112.0,126.0
93,80,80.0,120.0
97,100,100.0,112.0
102,60,60.0,98.0
105,1881,188.0,106.0
107,168,84.0,119.0
111,320,107.0,99.0
127,476,95.0,38.0
128,414,138.0,121.0
133,54,54.0,105.0
137,72,72.0,111.0
138,208,208.0,117.0
139,77,77.0,108.0
140,90,90.0,112.0
146,345,172.0,120.0
147,290,145.0,110.0
149,117,117.0,117.0
151,65,65.0,106.0
154,110,110.0,112.0
156,175,175.0,127.0
157,110,110.0,102.0
161,135,68.0,111.0
164,126,18.0,35.0
165,56,56.0,101.0
166,55,55.0,128.0
167,420,84.0,98.0
168,36,36.0,126.0
169,144,144.0,106.0
174,136,68.0,105.0
176,80,80.0,112.0
178,126,126.0,120.0
179,104,104.0,129.0
180,125,62.0,114.0
181,130,43.0,128.0
184,287,72.0,121.0
186,196,98.0,96.0
187,40,40.0,101.0
189,369,123.0,121.0
192,84,84.0,113.0
194,80,80.0,112.0
195,256,85.0,123.0
196,80,80.0,127.0
213,108,108.0,123.0
214,98,98.0,120.0
216,90,90.0,112.0
219,424,47.0,123.0
221,420,105.0,121.0
224,265,88.0,118.0
231,119,60.0,112.0
232,105,52.0,107.0
233,186,93.0,112.0
234,168,56.0,107.0
240,384,128.0,120.0
242,80,80.0,112.0
243,240,240.0,105.0
244,70,70.0,143.0
247,54,54.0,105.0
248,165,165.0,117.0
252,315,158.0,106.0
253,140,70.0,112.0
259,217,108.0,110.0
266,270,270.0,112.0
267,200,100.0,121.0
277,70,70.0,112.0
279,48,48.0,101.0
282,224,112.0,76.0
284,60,60.0,112.0
287,98,98.0,120.0
297,171,86.0,65.0
299,420,210.0,103.0
303,39,39.0,110.0
305,162,162.0,93.0
306,4794,479.0,112.0
310,18,18.0,110.0
311,48,24.0,115.0
313,136,136.0,124.0
317,12,12.0,118.0
318,102,102.0,118.0
320,144,72.0,101.0
322,138,69.0,113.0
323,96,48.0,111.0
326,306,102.0,120.0
328,66,66.0,105.0
330,154,154.0,104.0
