userid,browse_count,browse_countAvgMon,browse_meanAvgMon
2,1305,218.0,118.0
3,342,57.0,118.0
4,364,73.0,108.0
6,15,5.0,110.0
7,1008,202.0,110.0
8,1111,139.0,106.0
10,320,160.0,114.0
12,516,129.0,109.0
14,208,104.0,98.0
15,154,77.0,111.0
16,153,153.0,116.0
17,2478,248.0,113.0
18,100,100.0,112.0
19,2025,225.0,103.0
20,594,148.0,117.0
21,348,70.0,116.0
22,160,80.0,116.0
23,348,58.0,113.0
24,189,189.0,108.0
25,308,62.0,101.0
28,1440,206.0,118.0
29,275,138.0,118.0
30,378,76.0,101.0
31,606,87.0,118.0
32,96,48.0,129.0
33,182,91.0,115.0
34,350,117.0,123.0
35,154,77.0,118.0
36,1140,228.0,113.0
37,312,78.0,107.0
38,36,36.0,126.0
39,133,133.0,106.0
40,418,209.0,116.0
41,196,49.0,114.0
42,630,90.0,105.0
43,80,80.0,101.0
45,288,144.0,107.0
49,798,200.0,124.0
51,400,100.0,114.0
52,96,96.0,113.0
53,192,192.0,123.0
54,462,92.0,98.0
55,234,58.0,113.0
57,3856,257.0,123.0
58,108,54.0,105.0
59,696,232.0,107.0
60,384,192.0,125.0
61,200,67.0,109.0
62,200,100.0,100.0
64,324,162.0,123.0
65,301,150.0,109.0
66,98,98.0,119.0
67,196,196.0,107.0
68,768,128.0,115.0
69,60,60.0,123.0
70,210,42.0,114.0
71,400,133.0,127.0
72,98,33.0,110.0
74,154,154.0,124.0
75,245,49.0,112.0
77,99,50.0,104.0
79,784,131.0,118.0
82,136,68.0,59.0
83,405,101.0,113.0
84,1230,88.0,99.0
85,162,162.0,115.0
86,210,70.0,119.0
87,96,96.0,117.0
88,84,84.0,112.0
89,144,144.0,103.0
91,24,24.0,110.0
92,532,106.0,123.0
93,240,80.0,120.0
95,24,24.0,126.0
97,340,113.0,112.0
99,165,165.0,129.0
102,145,48.0,103.0
104,736,147.0,114.0
105,1881,188.0,106.0
107,864,144.0,115.0
110,152,152.0,118.0
111,1160,105.0,96.0
112,24,24.0,126.0
113,520,173.0,101.0
114,891,111.0,115.0
116,902,129.0,112.0
117,1270,159.0,116.0
118,405,81.0,98.0
119,516,103.0,111.0
123,856,86.0,115.0
