feature,score
r_browse_countAvgMon,65014
r_bill_prior_repayCaccount_topMean,59379
r_bill_limit-account_mean,58685
r_browse_meanAvgMon,53044
r_bill_minimunRepay_mean,47328
r_bill_accountBalance_mean,45963
r_bill_limit-account_topMean,42994
r_browse_count,40995
r_bill_priorRepay_mean,38008
r_bill_priorAccount_mean,37098
r_bill_account_monthAvg,37014
r_bill_minimunRepay_pctSum,36375
r_bill_priorRepay_max,34058
r_bill_prior_repayCaccount_mean,34048
r_bill_countbank_id,33876
r_browse_tag_5,33092
r_bill_limitSum,32102
r_browse_tag_10,31866
r_browse_tag_7,30856
r_browse_tag_1,30709
r_bill_priorAccount_max,29554
r_bill_priorRepay_pctSum,29319
r_browse_tag_6,29186
r_bill_account_pctSum,27466
r_browse_tag_4,27219
r_bill_minimunRepay_std,26597
r_browse_tag_8,26416
r_bill_accountBalance_std,26244
r_bill_accountBalance_pctSum,26110
r_bill_priorAccount_pctSum,24643
r_bill_priorAccount_std,24514
r_bill_account_std,24392
r_bill_priorRepay_std,24232
r_bill_limitStd,22281
r_bill_limitMean,22079
r_bill_count_monthAvg,21678
r_bill_account_pctSumAbs,19183
r_bill_priorRepayCAccount_std,18302
r_browse_tag_3,16771
r_household,13819
r_sex,13464
r_education,11920
r_occupation,11353
r_marriage,11081
r_browse_tag_9,2664
r_bill_bankid_count,1343
r_browse_tag_11,187
r_browse_tag_2,83
